loss,xloss,uloss,lambda_u
1.2580758372932903,1.256039747633622,0.0157207190236476,0.1248779296875
0.9897970775782596,0.9838185128173792,0.0159938096430778,0.3748779296875
0.9522963275012444,0.9427532935442288,0.0152719931115825,0.6248779296875
0.9150568251643564,0.9022372095350876,0.0146624212920869,0.8748779296875
0.896435436559841,0.8803332151946961,0.0143223866643893,1.1248779296875
0.916123370974674,0.8958657570474315,0.0147414768666749,1.3748779296875
0.8747238951982581,0.8515494945459068,0.0142591289572919,1.6248779296875
0.9065340578381438,0.8796385788664338,0.0143570042473584,1.8748779296875
0.8885395179022453,0.8588635975756915,0.0139686648603856,2.1248779296875
0.8787047979276394,0.8468789352300519,0.0134010849687911,2.3748779296875
0.8468235379332327,0.8119004621439672,0.0133072108187661,2.6248779296875
0.8694826517967158,0.8303820329383598,0.0136037360971386,2.8748779296875
0.8697510613419581,0.8274373971726163,0.0135450526622662,3.1248779296875
0.8527115648175823,0.8083229742114781,0.0131520089812511,3.3748779296875
0.8411792884144234,0.7943311217895825,0.0129239692487317,3.6248779296875
0.8764129609626252,0.8248634182382375,0.0133092001601653,3.8748779296875
0.8673066882693092,0.8142074085662898,0.0128760742381928,4.1248779296875
0.8416341105257743,0.7856588174654462,0.0127927185153566,4.3748779296875
0.8231592346273828,0.7654489528104023,0.0124788930334034,4.6248779296875
0.8254489722967264,0.7651412466511829,0.0123764820348242,4.8748779296875
0.8291365172044607,0.7658657311330899,0.012347545469538,5.1248779296875
0.853419702143583,0.7865968361365958,0.012434883161859,5.3748779296875
0.8222873181730392,0.754194533903501,0.0121061764430123,5.6248779296875
0.8214592092699604,0.7504120450103073,0.0120933398543456,5.8748779296875
0.819074962324521,0.7468325988065772,0.0117977759528002,6.1248779296875
0.8365920024953084,0.7600139801070327,0.0120134019455235,6.3748779296875
0.8034099034557585,0.7261367395785783,0.0116632064866735,6.6248779296875
0.8220976847587735,0.7397331624961225,0.0119828694698753,6.8748779296875
0.8240518205566332,0.7394114236376481,0.0118825683730392,7.1248779296875
0.8188303767165053,0.7325402235801448,0.011700669671427,7.3748779296875
1.104201318375999,1.0002312720025657,0.013636695405239152,7.6248779296875
